Personaje,Actor,Pelicula,Año
Steve Rogers/Captain America,Chris Evans,Capitán América y el Soldado del Invierno,2014
Nick Fury,Samuel L. Jackson,Capitán América y el Soldado del Invierno,2014
Natasha Romanoff/Black Widow,Scarlett Johansson,Capitán América y el Soldado del Invierno,2014
Alexander Pierce,Robert Redford,Capitán América y el Soldado del Invierno,2014
Bucky Barnes/Winter Soldier,Sebastian Stan,Capitán América y el Soldado del Invierno,2014
Sam Wilson/Falcon,Anthony Mackie,Capitán América y el Soldado del Invierno,2014
Maria Hill,Cobie Smulders,Capitán América y el Soldado del Invierno,2014
Brock Rumlow,Frank Grillo,Capitán América y el Soldado del Invierno,2014
Jasper Sitwell(as Maximiliano Hernandez),Maximiliano Hernández,Capitán América y el Soldado del Invierno,2014
Kate/Agent 13,Emily VanCamp,Capitán América y el Soldado del Invierno,2014
Peggy Carter,Hayley Atwell,Capitán América y el Soldado del Invierno,2014
Dr. Arnim Zola,Toby Jones,Capitán América y el Soldado del Invierno,2014
Smithsonian Guard,Stan Lee,Capitán América y el Soldado del Invierno,2014
Jack Rollins,Callan Mulvey,Capitán América y el Soldado del Invierno,2014
Councilwoman Hawley,Jenny Agutter,Capitán América y el Soldado del Invierno,2014
Councilman Singh,Bernard White,Capitán América y el Soldado del Invierno,2014
Councilman Rockwell,Alan Dale,Capitán América y el Soldado del Invierno,2014
Councilman Yen,Chin Han,Capitán América y el Soldado del Invierno,2014
Senator Stern,Garry Shandling,Capitán América y el Soldado del Invierno,2014
Georges Batroc,Georges St-Pierre,Capitán América y el Soldado del Invierno,2014
French Pirate #1,Salvator Xuereb,Capitán América y el Soldado del Invierno,2014
French Pirate #2,Brian Duffy,Capitán América y el Soldado del Invierno,2014
Engine Pirate,Zack Duhame,Capitán América y el Soldado del Invierno,2014
French Radio Pirate,Adetokumboh M'Cormack,Capitán América y el Soldado del Invierno,2014
Skinny Steve,Christopher George Sarris,Capitán América y el Soldado del Invierno,2014
Specialist Cameron Klein,Aaron Himelstein,Capitán América y el Soldado del Invierno,2014
Launch Tech #2,Allan Chanes,Capitán América y el Soldado del Invierno,2014
Dr. Fine(as Gozie Agbo),Joe Russo,Capitán América y el Soldado del Invierno,2014
SHIELD Interrogator #1,Christopher Markus,Capitán América y el Soldado del Invierno,2014
SHIELD Interrogator #2,Stephen McFeely,Capitán América y el Soldado del Invierno,2014
Scientist #1,Pat Healy,Capitán América y el Soldado del Invierno,2014
Scientist #2,Ed Brubaker,Capitán América y el Soldado del Invierno,2014
Apple Employee(as D C Pierson),D.C. Pierson,Capitán América y el Soldado del Invierno,2014
Com Tech #1,Danny Pudi,Capitán América y el Soldado del Invierno,2014
Com Tech #2,Bernard Zilinskas,Capitán América y el Soldado del Invierno,2014
Renata,Branka Katic,Capitán América y el Soldado del Invierno,2014
Garcia,Angela Russo-Otstot,Capitán América y el Soldado del Invierno,2014
Charlie XO,Jon Sklaroff,Capitán América y el Soldado del Invierno,2014
Charlie Weapons Tech,Chad Todhunter,Capitán América y el Soldado del Invierno,2014
SHIELD Tech,Abigail Marlowe,Capitán América y el Soldado del Invierno,2014
Lead SHIELD Pilot,Jeremy Maxwell,Capitán América y el Soldado del Invierno,2014
Senior SHIELD Agent,Emerson Brooks,Capitán América y el Soldado del Invierno,2014
SHIELD Agent,Evan Parke,Capitán América y el Soldado del Invierno,2014
Strike SGT. #1,Ricardo Chacon,Capitán América y el Soldado del Invierno,2014
Strike SGT. #2(as Griffin M. Allen),Griff Allen,Capitán América y el Soldado del Invierno,2014
Strike Agent,Ann Russo,Capitán América y el Soldado del Invierno,2014
Strike Agent,Joe Rosalina,Capitán América y el Soldado del Invierno,2014
Strike Agent,Michael Debeljak,Capitán América y el Soldado del Invierno,2014
Strike Agent,Eddie J. Fernandez,Capitán América y el Soldado del Invierno,2014
25th Floor Strike Agent,Jody Hart,Capitán América y el Soldado del Invierno,2014
Scudder,Steven Culp,Capitán América y el Soldado del Invierno,2014
Human Resources Executive,Derek Hughes,Capitán América y el Soldado del Invierno,2014
Doctor,Wendy Hoopes,Capitán América y el Soldado del Invierno,2014
Lead EMT(as Ethan Rains),Iman Nazemzadeh,Capitán América y el Soldado del Invierno,2014
CIA Instructor,Dominic Rains,Capitán América y el Soldado del Invierno,2014
Capitol Hill Police,Charles Wittman,Capitán América y el Soldado del Invierno,2014
Capitol Hill Police,Andy Martinez Jr.,Capitán América y el Soldado del Invierno,2014
FBI Agent,Michael De Geus,Capitán América y el Soldado del Invierno,2014
FBI Agent,Terence O'Rourke,Capitán América y el Soldado del Invierno,2014
Committee Member,Anne Grimenstein,Capitán América y el Soldado del Invierno,2014
Little Boy in the Smithsonian,Dante Rosalina,Capitán América y el Soldado del Invierno,2014
Fury Car(voice),Robert Clotworthy,Capitán América y el Soldado del Invierno,2014
SHIELD Computer(voice),June Christopher,Capitán América y el Soldado del Invierno,2014
The Smithsonian Narrator(voice),Gary Sinise,Capitán América y el Soldado del Invierno,2014
SHIELD Strike Agent,Davis Aguila,Capitán América y el Soldado del Invierno,2014
ER Nurse,Karen Gadson Alexander,Capitán América y el Soldado del Invierno,2014
Diplomat,Tex Allen,Capitán América y el Soldado del Invierno,2014
DC Cop/Driver,Dan Anders,Capitán América y el Soldado del Invierno,2014
Museum Kid,Cullum Andrews,Capitán América y el Soldado del Invierno,2014
Pedestrian,Diedra Arthur-O'Ree,Capitán América y el Soldado del Invierno,2014
Military Veteran,Ben Atkins,Capitán América y el Soldado del Invierno,2014
Soldier,Thomas R. Baker,Capitán América y el Soldado del Invierno,2014
SHIELD Agent,Dean Barlage,Capitán América y el Soldado del Invierno,2014
SHIELD Strike Agent,Dyrell Barnett,Capitán América y el Soldado del Invierno,2014
Tourist,Shaira Barton,Capitán América y el Soldado del Invierno,2014
French Mercenary Soldier,David Biedrzycki,Capitán América y el Soldado del Invierno,2014
SHIELD Agent,J. Blakemore,Capitán América y el Soldado del Invierno,2014
Mall Pedestrian,Troy Bogdan,Capitán América y el Soldado del Invierno,2014
Patron,Sharita Bone,Capitán América y el Soldado del Invierno,2014
French Pirate,Nicolas Bosc,Capitán América y el Soldado del Invierno,2014
DC Pedestrian,Colin Botts,Capitán América y el Soldado del Invierno,2014
Smithsonian Guard,Ken Bray,Capitán América y el Soldado del Invierno,2014
