Personaje,Actor,Pelicula,Año
Scott Lang/Ant-Man,Paul Rudd,El Hombre Hormiga,2015
Dr. Hank Pym,Michael Douglas,El Hombre Hormiga,2015
Hope van Dyne,Evangeline Lilly,El Hombre Hormiga,2015
Darren Cross/Yellowjacket,Corey Stoll,El Hombre Hormiga,2015
Paxton,Bobby Cannavale,El Hombre Hormiga,2015
Sam Wilson/Falcon,Anthony Mackie,El Hombre Hormiga,2015
Maggie Lang,Judy Greer,El Hombre Hormiga,2015
Cassie Lang,Abby Ryder Fortson,El Hombre Hormiga,2015
Luis,Michael Peña,El Hombre Hormiga,2015
Kurt,David Dastmalchian,El Hombre Hormiga,2015
Dave,Tip 'T.I.' Harris,El Hombre Hormiga,2015
Gale,Wood Harris,El Hombre Hormiga,2015
Peggy Carter,Hayley Atwell,El Hombre Hormiga,2015
Howard Stark,John Slattery,El Hombre Hormiga,2015
Mitchell Carson,Martin Donovan,El Hombre Hormiga,2015
Car Driver,Garrett Morris,El Hombre Hormiga,2015
Dale,Gregg Turkington,El Hombre Hormiga,2015
Hydra Buyer,Rod Hallett,El Hombre Hormiga,2015
Frank,Joe Chrest,El Hombre Hormiga,2015
Buyer,Joe Bucaro III,El Hombre Hormiga,2015
Buyer,Jean Louisa Kelly,El Hombre Hormiga,2015
Young Pym,Dax Griffin,El Hombre Hormiga,2015
Janet van Dyne/The Wasp,Hayley Lovitt,El Hombre Hormiga,2015
Spanish Woman,Norma Alvarez,El Hombre Hormiga,2015
Young Daughter,Darcie Isabella Cottrell,El Hombre Hormiga,2015
Raver,Teddy Williams,El Hombre Hormiga,2015
Raver,Carol Anne Watts,El Hombre Hormiga,2015
Raver(as Chuck David Willis),Se Oh,El Hombre Hormiga,2015
Raver,Diana Chiritescu,El Hombre Hormiga,2015
Pool BBQ Dad,Neko Parham,El Hombre Hormiga,2015
Pool BBQ Mom,Onira Tares,El Hombre Hormiga,2015
Pool BBQ Kid,Kylen Davis,El Hombre Hormiga,2015
Pool BBQ Kid,Zamani Wilder,El Hombre Hormiga,2015
Pym Tech Gate Guard,Jim R. Coleman,El Hombre Hormiga,2015
Pym Tech Security Guard,Desmond Phillips,El Hombre Hormiga,2015
Pym Tech Security Guard,Aaron Saxton,El Hombre Hormiga,2015
EMT,Michael A. Cook,El Hombre Hormiga,2015
Gorgeous Blonde(as Ricki Noel Lander),Ricki Lander,El Hombre Hormiga,2015
Superior Officer,Rus Blackwell,El Hombre Hormiga,2015
Ice Cream Store Customer,Johnny Pemberton,El Hombre Hormiga,2015
Ernesto,Nicholas Barrera,El Hombre Hormiga,2015
Carlos,Carlos Aviles,El Hombre Hormiga,2015
Emily,Lyndsi LaRose,El Hombre Hormiga,2015
Peachy,Robert Crayton,El Hombre Hormiga,2015
Cop on Speaker,Ajani Perkins,El Hombre Hormiga,2015
Alpha Guard,Jessejames Locorriere,El Hombre Hormiga,2015
Beta Guard,Zack Duhame,El Hombre Hormiga,2015
Vault Guard,Kevin Lacz,El Hombre Hormiga,2015
Vault Guard,Michael Trisler,El Hombre Hormiga,2015
Armed Guard,Daniel Stevens,El Hombre Hormiga,2015
Armed Guard,Alex Chansky,El Hombre Hormiga,2015
Armed Guard,Clay Donahue Fontenot,El Hombre Hormiga,2015
Armed Guard,Michael Jamorski,El Hombre Hormiga,2015
Armed Guard,Casey Pieretti,El Hombre Hormiga,2015
Lab Guard,Antal Kalik,El Hombre Hormiga,2015
Lab Guard,Adam Hart,El Hombre Hormiga,2015
Lab Guard,Reuben Langdon,El Hombre Hormiga,2015
Lab Guard,Todd Schneider,El Hombre Hormiga,2015
Lab Tech,Kevin Buttimer,El Hombre Hormiga,2015
Ignacio,Danny Vasquez,El Hombre Hormiga,2015
Writer,Anna Akana,El Hombre Hormiga,2015
Bartender,Stan Lee,El Hombre Hormiga,2015
Hideous Rabbit(voice),Tom Kenny,El Hombre Hormiga,2015
Helicopter Pilot,Rick Avery,El Hombre Hormiga,2015
Helicopter Pilot,Erik Betts,El Hombre Hormiga,2015
Pedestrian,Natalie Stephany Aguilar,El Hombre Hormiga,2015
