Personaje,Actor,Pelicula,Año
Captain America/Steve Rogers,Chris Evans,El primer vengador,2011
Peggy Carter,Hayley Atwell,El primer vengador,2011
James Buchanan 'Bucky' Barnes,Sebastian Stan,El primer vengador,2011
Colonel Chester Phillips,Tommy Lee Jones,El primer vengador,2011
Johann Schmidt/Red Skull,Hugo Weaving,El primer vengador,2011
Howard Stark,Dominic Cooper,El primer vengador,2011
Heinz Kruger,Richard Armitage,El primer vengador,2011
Dr. Abraham Erskine,Stanley Tucci,El primer vengador,2011
Nick Fury,Samuel L. Jackson,El primer vengador,2011
Dr. Arnim Zola,Toby Jones,El primer vengador,2011
Timothy 'Dum Dum' Dugan,Neal McDonough,El primer vengador,2011
Gabe Jones,Derek Luke,El primer vengador,2011
Jim Morita,Kenneth Choi,El primer vengador,2011
James Montgomery Falsworth,JJ Feild,El primer vengador,2011
Jacques Dernier,Bruno Ricci,El primer vengador,2011
Gilmore Hodge,Lex Shrapnel,El primer vengador,2011
Senator Brandt,Michael Brandon,El primer vengador,2011
Brandt's Aide,Martin T. Sherman,El primer vengador,2011
Pvt. Lorraine,Natalie Dormer,El primer vengador,2011
Search Team Leader,Oscar Pearce,El primer vengador,2011
SHIELD Lieutenant,William Hope,El primer vengador,2011
SHIELD Tech,Nicholas Pinnock,El primer vengador,2011
Jan,Marek Oravec,El primer vengador,2011
Tower Keeper,David Bradley,El primer vengador,2011
Steve Rogers Double/Barman,Leander Deeny,El primer vengador,2011
Nervous Recruit,Sam Hoare,El primer vengador,2011
4F Doctor,Simon Kunz,El primer vengador,2011
Loud Jerk,Kieran O'Connor,El primer vengador,2011
Connie(as Jenna-Louise Coleman),Jenna Coleman,El primer vengador,2011
Bonnie,Sophie Colquhoun,El primer vengador,2011
Young Doctor,Doug Cockle,El primer vengador,2011
Enlistment Office MP,Ben Batt,El primer vengador,2011
Stark Girl,Mollie Fitzgerald,El primer vengador,2011
Sergeant Duffy(as Damon J. Driver),Damon Driver,El primer vengador,2011
Johann Schmidt's Artist,David McKail,El primer vengador,2011
Antique Store Owner,Amanda Walker,El primer vengador,2011
SSR Doctor,Richard Freeman,El primer vengador,2011
Project Rebirth Nurse,Katherine Press,El primer vengador,2011
Kruger's Aide(as Sergio Covino),Sergio James,El primer vengador,2011
Undercover Bum,Marcello Walton,El primer vengador,2011
Undercover Bum,Vincent Montuel,El primer vengador,2011
