Personaje,Actor,Pelicula,Año
Peter Quill,Chris Pratt,Guardianes de la Galaxia,2014
Gamora,Zoe Saldana,Guardianes de la Galaxia,2014
Drax,Dave Bautista,Guardianes de la Galaxia,2014
Groot(voice),Vin Diesel,Guardianes de la Galaxia,2014
Rocket(voice),Bradley Cooper,Guardianes de la Galaxia,2014
Ronan,Lee Pace,Guardianes de la Galaxia,2014
Yondu Udonta,Michael Rooker,Guardianes de la Galaxia,2014
Nebula,Karen Gillan,Guardianes de la Galaxia,2014
Korath,Djimon Hounsou,Guardianes de la Galaxia,2014
Corpsman Dey,John C. Reilly,Guardianes de la Galaxia,2014
Nova Prime,Glenn Close,Guardianes de la Galaxia,2014
The Collector,Benicio Del Toro,Guardianes de la Galaxia,2014
Meredith Quill,Laura Haddock,Guardianes de la Galaxia,2014
Kraglin/On Set Rocket,Sean Gunn,Guardianes de la Galaxia,2014
Denarian Saal,Peter Serafinowicz,Guardianes de la Galaxia,2014
The Broker,Christopher Fairbank,Guardianes de la Galaxia,2014
On Set Groot,Krystian Godlewski,Guardianes de la Galaxia,2014
Young Quill,Wyatt Oleff,Guardianes de la Galaxia,2014
Grandpa,Gregg Henry,Guardianes de la Galaxia,2014
Meredith's Mother,Janis Ahern,Guardianes de la Galaxia,2014
Meredith's Brother,Solomon Mousley,Guardianes de la Galaxia,2014
Meredith's Best Friend,Lindsay Morton,Guardianes de la Galaxia,2014
Dr. Fitzgibbon,Robert Firth,Guardianes de la Galaxia,2014
Bereet,Melia Kreiling,Guardianes de la Galaxia,2014
Horuz,Tom Proctor,Guardianes de la Galaxia,2014
Horuz' Mate,Nick Holmes,Guardianes de la Galaxia,2014
Sacrificed Nova Corpsman,Max Wrottesley,Guardianes de la Galaxia,2014
Xandarian Ladies' Man,Stan Lee,Guardianes de la Galaxia,2014
Pretty Xandarian,Nicole Alexandra Shipley,Guardianes de la Galaxia,2014
Nova Arresting Pilot,Sharif Atkins,Guardianes de la Galaxia,2014
Corpsman Dey's Partner,Brendan Fehr,Guardianes de la Galaxia,2014
Kree Ambassador,Tomas Arana,Guardianes de la Galaxia,2014
Nova Prime's Assistant,Mikaela Hoover,Guardianes de la Galaxia,2014
Head Riot Guard(as Emmett J. Scanlan),Emmett J Scanlan,Guardianes de la Galaxia,2014
Angry Guard,Dominic Grant,Guardianes de la Galaxia,2014
Mean Guard,Spencer Wilding,Guardianes de la Galaxia,2014
Sad Woman with Horns,Alison Lintott,Guardianes de la Galaxia,2014
Moloka Dar,Alexis Rodney,Guardianes de la Galaxia,2014
Monstrous Inmate(voice),Nathan Fillion,Guardianes de la Galaxia,2014
Mottled Prisoner,Keeley Forsyth,Guardianes de la Galaxia,2014
Burly Prisoner,Frank Gilhooley,Guardianes de la Galaxia,2014
The Other,Alexis Denisof,Guardianes de la Galaxia,2014
Watchtower Guard,Enzo Cilenti,Guardianes de la Galaxia,2014
One Legged Prisoner,Richard Katz,Guardianes de la Galaxia,2014
Rifle Guard(as Enoch Frost),Ene Frost,Guardianes de la Galaxia,2014
'Drop The Leg' Guard,Ronan Summers,Guardianes de la Galaxia,2014
Carina,Ophelia Lovibond,Guardianes de la Galaxia,2014
Tortured Pink Girl,Laura Ortiz,Guardianes de la Galaxia,2014
Pit Boss,Marama Corlett,Guardianes de la Galaxia,2014
Lady of the Boot of Jemiah,Rosie Jones,Guardianes de la Galaxia,2014
Lady of the Boot of Jemiah(as Abidemi Sobande),Abi Olasoji,Guardianes de la Galaxia,2014
Lady of the Boot of Jemiah,Alex Rose,Guardianes de la Galaxia,2014
Lady of the Boot of Jemiah,Ekaterina Zalitko,Guardianes de la Galaxia,2014
Lady of the Boot of Jemiah,Emily Redding,Guardianes de la Galaxia,2014
Cosmo The Space Dog,Fred,Guardianes de la Galaxia,2014
Knowhere Dispatcher,Stephen Blackehart,Guardianes de la Galaxia,2014
Sad Krylorian Girl,Jennifer Moylan-Taylor,Guardianes de la Galaxia,2014
One-Eyed Ravager,Bruce Mackinnon,Guardianes de la Galaxia,2014
Ravager Pilot,Ralph Ineson,Guardianes de la Galaxia,2014
Ravager Navigator(voice),Rob Zombie,Guardianes de la Galaxia,2014
