Personaje,Actor,Pelicula,Año
Tony Stark,Robert Downey Jr.,Iron Man 2,2010
Pepper Potts,Gwyneth Paltrow,Iron Man 2,2010
Lt. Col. James 'Rhodey' Rhodes,Don Cheadle,Iron Man 2,2010
Natalie Rushman/Natasha Romanoff,Scarlett Johansson,Iron Man 2,2010
Justin Hammer,Sam Rockwell,Iron Man 2,2010
Ivan Vanko,Mickey Rourke,Iron Man 2,2010
Nick Fury,Samuel L. Jackson,Iron Man 2,2010
Agent Coulson,Clark Gregg,Iron Man 2,2010
Howard Stark,John Slattery,Iron Man 2,2010
Senator Stern,Garry Shandling,Iron Man 2,2010
Jarvis(voice),Paul Bettany,Iron Man 2,2010
U.S. Marshal,Kate Mara,Iron Man 2,2010
Christine Everhart,Leslie Bibb,Iron Man 2,2010
Happy Hogan,Jon Favreau,Iron Man 2,2010
Christiane Amanpour,Christiane Amanpour,Iron Man 2,2010
Detective Lemieux,Philippe Bergeron,Iron Man 2,2010
Security Force #1,James Bethea,Iron Man 2,2010
Security Force #2,Michael Bruno,Iron Man 2,2010
Expo Fan(as Katie Clark),Kate Clark,Iron Man 2,2010
Russian Newscaster,Luminita Docan,Iron Man 2,2010
French Photographer,François Duhamel,Iron Man 2,2010
Larry Ellison,Larry Ellison,Iron Man 2,2010
Adam Goldstein(as Adam 'DJ AM' Goldstein),DJ AM,Iron Man 2,2010
Major Allen,Tim Guinee,Iron Man 2,2010
General Meade,Eric L. Haney,Iron Man 2,2010
10 Rings Gangster,Ali Khan,Iron Man 2,2010
Anton Vanko(as Eugene Lazarev),Evgeniy Lazarev,Iron Man 2,2010
Stan Lee,Stan Lee,Iron Man 2,2010
AV Operator,Isaiah Guyman Martin IV,Iron Man 2,2010
Rebecca,Helena Mattsson,Iron Man 2,2010
Expo Cop,Keith Middlebrook,Iron Man 2,2010
Rebeka,Anya Monzikova,Iron Man 2,2010
Bambi Arbogast(as Margy Moore),Margy Stein,Iron Man 2,2010
Chess Roberts,Olivia Munn,Iron Man 2,2010
Elon Musk,Elon Musk,Iron Man 2,2010
Bill O'Reilly,Bill O'Reilly,Iron Man 2,2010
Strawberry Vendor(as Alejandro Patino),Alejandro Patiño,Iron Man 2,2010
Young Tony Stark,Davin Ransom,Iron Man 2,2010
Guard,Karim Saleh,Iron Man 2,2010
Hammer Expo Tech,Brian Schaeffer,Iron Man 2,2010
French Waiter,Phillipe Simon,Iron Man 2,2010
Jack,Jack White,Iron Man 2,2010
Ironette Dancer,Melanie Brown,Iron Man 2,2010
Ironette Dancer,Krystal Ellsworth,Iron Man 2,2010
Ironette Dancer(as Victoria Parsons),Victoria Gracie,Iron Man 2,2010
Ironette Dancer,Gina Cantrell,Iron Man 2,2010
Ironette Dancer,Renee Herlocker,Iron Man 2,2010
Ironette Dancer,Jill Ann Pineda-Arnold,Iron Man 2,2010
Ironette Dancer(as Sandra Colton),Sandy Colton,Iron Man 2,2010
Ironette Dancer,Annika Ihnat,Iron Man 2,2010
