Personaje,Actor,Pelicula,Año
Tony Stark/Iron Man,Robert Downey Jr.,Los vengadores,2012
Steve Rogers/Captain America,Chris Evans,Los vengadores,2012
Bruce Banner/The Hulk,Mark Ruffalo,Los vengadores,2012
Thor,Chris Hemsworth,Los vengadores,2012
Natasha Romanoff/Black Widow,Scarlett Johansson,Los vengadores,2012
Clint Barton/Hawkeye,Jeremy Renner,Los vengadores,2012
Loki,Tom Hiddleston,Los vengadores,2012
Agent Phil Coulson,Clark Gregg,Los vengadores,2012
Agent Maria Hill,Cobie Smulders,Los vengadores,2012
Selvig,Stellan Skarsgård,Los vengadores,2012
Nick Fury,Samuel L. Jackson,Los vengadores,2012
Pepper Potts,Gwyneth Paltrow,Los vengadores,2012
Jarvis(voice),Paul Bettany,Los vengadores,2012
The Other,Alexis Denisof,Los vengadores,2012
NASA Scientist,Tina Benko,Los vengadores,2012
Georgi Luchkov,Jerzy Skolimowski,Los vengadores,2012
Weaselly Thug,Kirill Nikiforov,Los vengadores,2012
Tall Thug,Jeff Wolfe,Los vengadores,2012
Young Girl(as M'laah Singh),M'laah Kaur Singh,Los vengadores,2012
Calcutta Woman,Rashmi Rustagi,Los vengadores,2012
World Security Council,Powers Boothe,Los vengadores,2012
World Security Council,Jenny Agutter,Los vengadores,2012
World Security Council,Arthur Darbinyan,Los vengadores,2012
World Security Council,Donald Li,Los vengadores,2012
Carrier Bridge Tech,Warren Kole,Los vengadores,2012
Carrier Bridge Tech,Alicia Sixtos,Los vengadores,2012
Carrier Bridge Tech,Jesse Garcia,Los vengadores,2012
Agent Jasper Sitwell(as Maximiliano Hernandez),Maximiliano Hernández,Los vengadores,2012
Gala Scientist,Dieter Riesle,Los vengadores,2012
German Old Man,Kenneth Tigar,Los vengadores,2012
Young Shield Pilot,Walter Perez,Los vengadores,2012
Security Guard,Harry Dean Stanton,Los vengadores,2012
Maintenance Guy,Josh Cowdery,Los vengadores,2012
Waitress,Ashley Johnson,Los vengadores,2012
Japanese Family,Katsumi Komatsu,Los vengadores,2012
Japanese Family,Yumiko Komatsu,Los vengadores,2012
Japanese Family,Momoko Komatsu,Los vengadores,2012
Police Sergeant,Robert Clohessy,Los vengadores,2012
Officer Saunders,Enver Gjokaj,Los vengadores,2012
Office Woman,Fernanda Toker,Los vengadores,2012
News Reporter,Andrea Vecchio,Los vengadores,2012
News Reporter,Robin Swoboda,Los vengadores,2012
Faceless Pilot,Brent McGee,Los vengadores,2012
Celebration Montage Interviewee,Jamie McShane,Los vengadores,2012
Celebration Montage Interviewee,Michael Zhang,Los vengadores,2012
Celebration Montage Interviewee(as Wiliams Christopher Stevens),William Christopher Stephens,Los vengadores,2012
Celebration Montage Interviewee,Kelley Robins Hicks,Los vengadores,2012
Shawna Lynde,Romy Rosemont,Los vengadores,2012
Senator Boynton,James Eckhouse,Los vengadores,2012
Stan Lee,Stan Lee,Los vengadores,2012
Pat Kiernan,Pat Kiernan,Los vengadores,2012
Thomas Roberts,Thomas Roberts,Los vengadores,2012
Man #1,Damion Poitier,Los vengadores,2012
Café patron,Davis Allsop,Los vengadores,2012
S.H.I.E.L.D. Agent,Hank Amos,Los vengadores,2012
German Pedestrian,Catherine Anderson,Los vengadores,2012
Lentil Merchant,Ricardo Andres,Los vengadores,2012
Pedestrian,Paulie Andrew,Los vengadores,2012
S.H.I.E.L.D. Agent,Logan Bennett,Los vengadores,2012
Celebration Montage Man Shaving Beard,Mayank Bhatter,Los vengadores,2012
Gala Guest,Sharita Bone,Los vengadores,2012
Museum Gala Patron,Jason Botsford,Los vengadores,2012
Scared Spectator,Stephen Bullard,Los vengadores,2012
Stuttgart Biergarten patron,Mary Kate Campbell,Los vengadores,2012
Museum Gala Patron,Kadrolsha Ona Carole,Los vengadores,2012
Mercenary,Max Cavenham,Los vengadores,2012
S.H.I.E.L.D. Guard,Gene N. Chavez,Los vengadores,2012
Natasha Romanoff/Black Widow,Neshma Chemburkar,Los vengadores,2012
NYPD Police Officer,Dale Coffman,Los vengadores,2012
Museum Patron,Suzie Coker,Los vengadores,2012
Gala Guest,Layla Cushman,Los vengadores,2012
Soldier,Robert Dean,Los vengadores,2012
Tourist,Alex DeCourville,Los vengadores,2012
Museum Gala Guest,Rick Dremann,Los vengadores,2012
S.H.I.E.L.D. Agent,Jenny Kim Eaves,Los vengadores,2012
S.H.I.E.L.D. Agent,Mark Falvo,Los vengadores,2012
Pedestrian,Keith Fausnaught,Los vengadores,2012
Reluctant Loki Worshipper,John Fecek,Los vengadores,2012
Woman in the Museum,Lorena Fernández,Los vengadores,2012
The Hulk(voice) ,Lou Ferrigno,Los vengadores,2012
Pedestrian,Rod Fielder,Los vengadores,2012
Civilian,Dezaré Foster,Los vengadores,2012
Stuttgart Citizen,Eric Frank,Los vengadores,2012
Civilian,Mariah E. Garcia,Los vengadores,2012
S.H.I.E.L.D. Agent,Richard Garcia,Los vengadores,2012
Stuttgart Driver,Jorge J. González,Los vengadores,2012
NYC Pedestrian,Tina Grimm,Los vengadores,2012
S.H.I.E.L.D. Agent,Israel Hall,Los vengadores,2012
Pedestrian,B.J. Halsall,Los vengadores,2012
Museum Gala Patron,Carmen Dee Harris,Los vengadores,2012
Mercenary,Josh Heileman,Los vengadores,2012
Gala Party Goer,Dominique Henderson,Los vengadores,2012
Screaming Pedestrian,Hannah Henriques,Los vengadores,2012
NYC Detective,Moe Hindi,Los vengadores,2012
Cab Driver,Michael Huante,Los vengadores,2012
Mercenary,Alexander Christopher Jones,Los vengadores,2012
Pedestrian,Mike Karban,Los vengadores,2012
Hotdog Vendor,Tanzeel Kayani,Los vengadores,2012
Stuttgart Beer Garden Waitress,Carrie Kelley,Los vengadores,2012
Mercenary,Patrick Kellums,Los vengadores,2012
News Boy,Great Kim,Los vengadores,2012
S.H.I.E.L.D. Agent,Demoine Kinney,Los vengadores,2012
German Pedestrian,Sean Kleefeld,Los vengadores,2012
Principal,Evan Kole,Los vengadores,2012
Hostage,Annette Lawless,Los vengadores,2012
Road Worker,Brandon Matthew Layne,Los vengadores,2012
Civilian,Scott Ligon,Los vengadores,2012
Limo Driver,Kimberly J. Mahoney,Los vengadores,2012
Helicarrier Medical Team Leader,Todd Manes,Los vengadores,2012
New York City Pedestrian,David L. Marston,Los vengadores,2012
Civilian,Tiffany Sander McKenzie,Los vengadores,2012
Cafe Patron,David Michael McMillan,Los vengadores,2012
Guard,Sean Meehan,Los vengadores,2012
Woman in Restaurant,Jillian Morgese,Los vengadores,2012
Hannah Rippenger,Alexandria Morrow,Los vengadores,2012
Stuttgart Biergarten Patron,Chuck Morsher,Los vengadores,2012
Waitress,Joti Nagra,Los vengadores,2012
Gala Museum Patron,Holly Neelie,Los vengadores,2012
Extra,Caleb Daniel Noal,Los vengadores,2012
Head Security Guard,Donn R. Nottage,Los vengadores,2012
New York City Pedestrian,Joseph O'Brien,Los vengadores,2012
