Personaje,Actor,Pelicula,Año
Thor,Chris Hemsworth,Thor,2011
Jane Foster,Natalie Portman,Thor,2011
Loki,Tom Hiddleston,Thor,2011
Odin,Anthony Hopkins,Thor,2011
Erik Selvig,Stellan Skarsgård,Thor,2011
Darcy Lewis,Kat Dennings,Thor,2011
Agent Coulson,Clark Gregg,Thor,2011
King Laufey,Colm Feore,Thor,2011
Heimdall,Idris Elba,Thor,2011
Volstagg,Ray Stevenson,Thor,2011
Hogun,Tadanobu Asano,Thor,2011
Fandral,Josh Dallas,Thor,2011
Sif,Jaimie Alexander,Thor,2011
Frigga,Rene Russo,Thor,2011
Isabela Alvarez,Adriana Barraza,Thor,2011
Agent Sitwell(as Maximiliano Hernandez),Maximiliano Hernández,Thor,2011
Frost Giant Captain,Richard Cetrone,Thor,2011
Frost Giant Sentry,Darren Kendrick,Thor,2011
Frost Giant Hailstrum,Josh Coxx,Thor,2011
Frost Giant Brute(as Justice Jesse Smith),Justice Smith Jr.,Thor,2011
Frost Giant Grundroth,Joseph Gatt,Thor,2011
Frost Giant Raze,Luke Massy,Thor,2011
Einherjar Guard(as Matthew Ducey),Matt Ducey,Thor,2011
Einherjar Guard,Jason Camp,Thor,2011
Agent Delancey,Buddy Sosthand,Thor,2011
Techie,Blake Silver,Thor,2011
Agent Jackson,Jamie McShane,Thor,2011
Agent Garrett,Dale Godboldo,Thor,2011
Agent Cale,Patrick O'Brien Demsey,Thor,2011
SHIELD Guard,Jim Palmer,Thor,2011
Townie,Seth Coltan,Thor,2011
Townie,J. Michael Straczynski,Thor,2011
Townie,Ryan Schaefer,Thor,2011
Pete,Matt Battaglia,Thor,2011
Stan the Man,Stan Lee,Thor,2011
Drunk Townie,Joel McCrary,Thor,2011
Pet Store Clerk,Isaac Kappy,Thor,2011
Admission Nurse,Juliet Lopez,Thor,2011
Orderly,Rob Mars,Thor,2011
Viking Mother,Carrie Lazar,Thor,2011
Viking Child,Harley Graham,Thor,2011
Viking Elder,Alexander Wright,Thor,2011
Viking,Hilary Pingle,Thor,2011
Viking,Shawn-Caulin Young,Thor,2011
Viking,Kinsey McLean,Thor,2011
Viking,Kelly Hawthorne,Thor,2011
Young Thor,Dakota Goyo,Thor,2011
Young Loki,Ted Allpress,Thor,2011
City Worker,Adaeze Cornelia Anane,Thor,2011
Townie/Arturo the Grocer,Martin Edward Andazola,Thor,2011
Man in Bar,Chris Antonini,Thor,2011
SHIELD Scientist,David Bantly,Thor,2011
Viking Villager,Vanessa Bednar,Thor,2011
Postman,Todd Bethke,Thor,2011
Shield Guard,Nuno Branco,Thor,2011
Frost Giant,Troy Brenna,Thor,2011
Einherjar Guard,Adam Critchlow,Thor,2011
Viking Village Wife,Michelle Csitos,Thor,2011
Nurse #1,Rachel de la Torre,Thor,2011
Asgardian Demigoddess,Elizabeth Dean,Thor,2011
Asgardian,Rick L. Dean,Thor,2011
Frost Giant Sentry(voice) ,Pat Duke,Thor,2011
Frost Giant,Jeremy Dunn,Thor,2011
Lady in Waiting to the Queen,Kimberly Evan,Thor,2011
Guardian Angel,Lorena Fernández,Thor,2011
Frost Giant,Derek Graf,Thor,2011
Utility Frost Giant,Brice Harris,Thor,2011
Townie,Eric Holloway,Thor,2011
Nick Fury,Samuel L. Jackson,Thor,2011
Einherjar Guard,Jasyn Jefferies,Thor,2011
Asgardian Goddess,Courtney Jones,Thor,2011
Asgardian Guard,Corey Jovan,Thor,2011
Einherjar Guard,James Kimball,Thor,2011
Asguard Knight,Julio Leal,Thor,2011
Man in Bar,David L. Marston,Thor,2011
Asgardian,Jonaral Martin,Thor,2011
Agent McGuire,Keith Middlebrook,Thor,2011
Loki CGI,Conor Moriarty,Thor,2011
Roman God,Nabil Nona,Thor,2011
Towns Person,Martin Palmer,Thor,2011
Nurse,Terry Dale Parks,Thor,2011
Guard,Francisco Peramos,Thor,2011
Guard of Asland,Taylor Reed,Thor,2011
Clint Barton,Jeremy Renner,Thor,2011
Townie,Anthony J Sacco,Thor,2011
Shield Guard,Tim Scanlon,Thor,2011
Extra in Diner,Tanissa Potrovitza Schoen,Thor,2011
Agent Scott Kelly,Shaun V. Scott,Thor,2011
Einherjar Guard,Joel Shock,Thor,2011
Asgardian,Walter Simonson,Thor,2011
Shield Guard,Six Smith,Thor,2011
Asgardian Guard,Jimmy Star,Thor,2011
Driver/Pedestrian,Michael E. Stogner,Thor,2011
Frost Giant,Douglas Tait,Thor,2011
Asguardian,Daniel Triplehorn,Thor,2011
Guardian Angel,Deena Trudy,Thor,2011
Bar Back,Matthew Trujillo,Thor,2011
Asgardian Guard,Clay von Carlowitz,Thor,2011
ER Nurse,Trenton Waterson,Thor,2011
Frost Giants,Travis Willingham,Thor,2011
