Personaje,Actor,Pelicula,Año
Thor,Chris Hemsworth,Thor 2,2013
Jane Foster,Natalie Portman,Thor 2,2013
Loki,Tom Hiddleston,Thor 2,2013
Odin,Anthony Hopkins,Thor 2,2013
Malekith,Christopher Eccleston,Thor 2,2013
Sif,Jaimie Alexander,Thor 2,2013
Fandral,Zachary Levi,Thor 2,2013
Volstagg,Ray Stevenson,Thor 2,2013
Hogun,Tadanobu Asano,Thor 2,2013
Heimdall,Idris Elba,Thor 2,2013
Frigga,Rene Russo,Thor 2,2013
Algrim/Kurse,Adewale Akinnuoye-Agbaje,Thor 2,2013
Darcy Lewis,Kat Dennings,Thor 2,2013
Erik Selvig,Stellan Skarsgård,Thor 2,2013
Eir,Alice Krige,Thor 2,2013
Tyr,Clive Russell,Thor 2,2013
Ian Boothby,Jonathan Howard,Thor 2,2013
John,Ramone Morgan,Thor 2,2013
Navid,Obada Alassadi,Thor 2,2013
Maddie,Imaan Chentouf,Thor 2,2013
Volstagg's Wife,Claire Brown,Thor 2,2013
Volstagg's Child #1,Henry Calcutt,Thor 2,2013
Volstagg's Child #2,Ava Caton,Thor 2,2013
Volstagg's Child #3,Abbie McCann,Thor 2,2013
Desk Officer,Thomas Arnold,Thor 2,2013
Stonehenge TV News Reporter,Sam Swainsbury,Thor 2,2013
Sad Child,Connor Donaghey,Thor 2,2013
Student,Royce Pierreson,Thor 2,2013
Woman on Platform,Annabel Norbury,Thor 2,2013
Wench #1,Sophie Cosson,Thor 2,2013
Richard,Chris O'Dowd,Thor 2,2013
Police Officer #1,Justin Edwards,Thor 2,2013
Police Officer #2,Gruffudd Glyn,Thor 2,2013
Einherjar Lieutenant,Richard Brake,Thor 2,2013
Stan Lee,Stan Lee,Thor 2,2013
Steve Scott,Steve Scott,Thor 2,2013
Einherjar Guard,Brett Tucker,Thor 2,2013
Nurse,Talulah Riley,Thor 2,2013
Asylum Patient,Richard Wharton,Thor 2,2013
Sel,Leonardo Amato,Thor 2,2013
Student,Alyson Andrews,Thor 2,2013
Asgardian Man,Patrick Baker,Thor 2,2013
Dark Elf,Jason Beeston,Thor 2,2013
City Worker,Gintare Beinoraviciute,Thor 2,2013
Police Officer,Lukas Bennett,Thor 2,2013
Asgardian Guard,Conor Boru,Thor 2,2013
Asgardian Man,Jason Bostridge,Thor 2,2013
Wench,Roseanna Brown,Thor 2,2013
Einherjar Prison Guard,Caleb Campbell,Thor 2,2013
Police Officer,Joe Cash,Thor 2,2013
Asgardian Einherjar,Gregory Cathcart,Thor 2,2013
Additional Voices,Greg Chun,Thor 2,2013
Police Officer,Bern Collaço,Thor 2,2013
Diner,Gary Comerford,Thor 2,2013
Celtic Musician,Andrew Crayford,Thor 2,2013
Einherjar Guard,Adam Critchlow,Thor 2,2013
